Address,MLS #,Status,List Price,Close Price,,Above Grade Finished SQFT,Price/SqFt,Acres/Lot SF,Sq Ft Difference,Lot difference,Status Contractual Search Date,Beds,Baths,BR up1,FB up1,Main Level BR,Main Level Full Bath,Lower Levels Total…,Lower Levels Total…,Kit ext,2 stry Fam Rm,Condition,Status Contractual,Long text,More or Less Than,Upgrades,Parking,Location,Rating,Best Comp,Link (Listing),More or Less Than,Upgrades,Year Built,DOM,CDOM,Property Condition,Basement,Garage,Attached Garage # of Spaces,Detached Garage # of Spaces,Below Grade Finished SQFT,Basement Type,Subdivision/Neighborhood,City,Zillow Link
9213 Friars Rd,MDMC2171876,ACT,"$1,250,000.00 ",,,"2,015",$620.35 ,0.21 / 9365,-598,,3/26/25,4,3,,,,,,,,,,,,,,,,,,,,,1966,34,34,,No,No,,,300,,GREEN TREE MANOR,Bethesda,
5115 Elsmere Ave,MDMC2165104,CLS,"$975,000.00 ","$1,100,000 ",,"1,624",$677.34 ,0.15 / 6500,-989,,3/18/25,4,2,,,,,,,,,,,,,,,,,,,,,1949,8,8,,Yes,Yes,,,200,"Interior Access, Partially Finished, Rear Entrance, Walkout Level, Windows",ALTA VISTA,Bethesda,
9608 Page Ave,MDMC2138558,CLS,"$1,249,000.00 ","$1,239,000 ",,"2,458",$504.07 ,0.17 / 7200,-155,,10/28/24,6,Apr-00,,,,,,,,,,,,,,,,,,,,,1948,76,76,Very Good,Yes,No,,,600,"Fully Finished, Interior Access, Rear Entrance, Walkout Level",ALTA VISTA,Bethesda,
9604 Wadsworth Dr,MDMC2156102,CLS,"$1,185,000.00 ","$1,245,000 ",,"2,695",$461.97 ,0.17 / 7426,82,,12/18/24,4,4,,,,,,,,,,,,,,,,,,,,,1958,4,4,"Excellent, Very Good",Yes,Yes,,,464,"Fully Finished, Heated, Interior Access, Sump Pump",ASHBURTON,Bethesda,
9127 Kirkdale Rd,MDMC2157350,CLS,"$925,000.00 ","$1,110,000 ",,"1,985",$559.19 ,0.18 / 7700,-628,,1/6/25,3,1-Feb,,,,,,,,,,,,,,,,,,,,,1959,7,7,,Yes,No,,,0,"Combination, Interior Access, Partial, Unfinished",GREEN TREE MANOR,Bethesda,
9420 Balfour Dr,MDMC2153240,CLS,"$999,000.00 ","$1,110,000 ",,"1,600",$693.75 ,0.19 / 8470,"-1,013",,12/13/24,4,2,,,,,,,,,,,,,,,,,,,,,1955,7,7,,Yes,No,,,500,"Fully Finished, Walkout Level",MAPLEWOOD MANOR,Bethesda,
9209 Friars Rd,MDMC2166348,CLS,"$1,235,000.00 ","$1,245,000 ",,"1,929",$645.41 ,0.2 / 8573,-684,,4/8/25,4,3,,,,,,,,,,,,,,,,,,,,,1966,9,9,,Yes,Yes,,,300,Partial,GREEN TREE MANOR,Bethesda,
6040 Avon Dr,MDMC2163014,CLS,"$1,188,000.00 ","$1,300,000 ",,"1,717",$757.13 ,0.21 / 9000,-896,,2/28/25,4,3,,,,,,,,,,,,,,,,,,,,,1955,4,4,,Yes,No,,,"1,200","Fully Finished, Heated, Improved, Interior Access, Outside Entrance, Rear Entrance, Space For Rooms, Walkout Stairs, Windows",WILDWOOD MANOR,Bethesda,
5208 Camberley Ave,MDMC2158032,CLS,"$1,150,000.00 ","$1,336,000 ",,"1,846",$723.73 ,0.22 / 9445,-767,,2/27/25,3,3,,,,,,,,,,,,,,,,,,,,,1961,6,6,Excellent,Yes,Yes,,,"1,200","Fully Finished, Interior Access, Walkout Stairs",ALTA VISTA,Bethesda,
10113 Hurst St,MDMC2164746,CLS,"$1,049,900.00 ","$1,125,000 ",,"1,500",$750.00 ,0.25 / 11007,"-1,113",,3/24/25,5,3,,,,,,,,,,,,,,,,,,,,,1964,6,6,,Yes,Yes,,,600,Poured Concrete,WILDWOOD MANOR,Bethesda,
9826 Inglemere Dr,MDMC2153170,CLS,"$999,900.00 ","$1,150,000 ",,"2,143",$536.63 ,0.32 / 14016,-470,,11/21/24,4,Mar-00,,,,,,,,,,,,,,,,,,,,,1962,4,4,Very Good,Yes,Yes,,,600,"Other, Partially Finished",FERNWOOD,Bethesda,
9915 Julliard Dr,MDMC2161416,EXP,"$1,279,000.00 ",,,"2,613",$489.48 ,0.18 / 7810,,,3/31/25,4,Apr-00,,,,,,,,,,,,,,,,,,,,,1958,72,189,Excellent,Yes,No,,,690,"Connecting Stairway, Daylight, Full, Daylight, Partial, Full, Fully Finished, Heated, Improved, Interior Access, Outside Entrance, Rear Entrance, Walkout Level, Windows",ASHBURTON,Bethesda,
6008 Grosvenor Ln,MDMC2167028,PND,"$1,190,000.00 ",,,"2,600",$457.69 ,0.21 / 9074,-13,,4/1/25,4,Mar-00,,,,,,,,,,,,,,,,,,,,,1958,28,28,Excellent,Yes,No,,,0,"Daylight, Full, Heated, Outside Entrance, Partially Finished, Walkout Level",WILDWOOD MANOR,Bethesda,
9202 Cedarcrest Dr,MDMC2173258,PND,"$1,200,000.00 ",,,"2,232",$537.63 ,0.22 / 9394,-381,,4/15/25,4,1-Feb,,,,,,,,,,,,,,,,,,,,,1959,4,4,Excellent,Yes,Yes,,,624,"Fully Finished, Heated, Improved, Interior Access",CEDARCREST,Bethesda,
9416 Holland Ct,MDMC2172580,PND,"$1,170,000.00 ",,,"2,308",$506.93 ,0.27 / 11603,-305,,4/7/25,4,1-Feb,,,,,,,,,,,,,,,,,,,,,1955,6,6,Excellent,Yes,No,,,,"Fully Finished, Outside Entrance, Walkout Level",MAPLEWOOD MANOR,Bethesda,